visitor_id,traffic_source,device,visit,product_view,add_to_cart,purchase,order_value
100001,Paid Social,Tablet,1,0,0,0,
100002,Paid Social,Mobile,1,1,1,0,
100003,Email,Desktop,1,1,0,0,
100004,Direct,Mobile,1,1,1,0,
100005,Paid Social,Mobile,1,1,0,0,
100006,Organic Search,Mobile,1,1,0,0,
100007,Direct,Mobile,1,1,0,0,
100008,Organic Search,Desktop,1,1,1,0,
100009,Referral,Desktop,1,1,1,0,
100010,Paid Social,Mobile,1,0,0,0,
100011,Organic Search,Desktop,1,1,0,0,
100012,Organic Search,Mobile,1,1,1,0,
100013,Direct,Tablet,1,0,0,0,
100014,Paid Social,Tablet,1,1,1,1,28.36
100015,Organic Search,Desktop,1,1,1,0,
100016,Organic Search,Desktop,1,1,0,0,
100017,Direct,Mobile,1,1,0,0,
100018,Email,Desktop,1,0,0,0,
100019,Organic Search,Mobile,1,1,0,0,
100020,Email,Mobile,1,1,1,0,
100021,Direct,Desktop,1,0,0,0,
100022,Paid Social,Mobile,1,0,0,0,
100023,Direct,Mobile,1,0,0,0,
100024,Paid Social,Mobile,1,1,1,1,20.68
100025,Organic Search,Desktop,1,1,0,0,
100026,Referral,Mobile,1,1,0,0,
100027,Organic Search,Mobile,1,1,1,0,
100028,Direct,Desktop,1,0,0,0,
100029,Direct,Mobile,1,0,0,0,
100030,Paid Social,Desktop,1,0,0,0,
100031,Organic Search,Mobile,1,1,0,0,
100032,Direct,Desktop,1,1,0,0,
100033,Paid Social,Mobile,1,1,1,0,
100034,Paid Social,Mobile,1,0,0,0,
100035,Paid Social,Tablet,1,0,0,0,
100036,Organic Search,Mobile,1,1,1,1,51.07
100037,Organic Search,Mobile,1,0,0,0,
100038,Organic Search,Mobile,1,1,0,0,
100039,Organic Search,Desktop,1,0,0,0,
100040,Organic Search,Desktop,1,1,0,0,
100041,Email,Mobile,1,1,0,0,
100042,Paid Social,Mobile,1,1,0,0,
100043,Email,Mobile,1,1,1,0,
100044,Organic Search,Desktop,1,1,0,0,
100045,Organic Search,Mobile,1,1,0,0,
100046,Direct,Mobile,1,0,0,0,
100047,Direct,Mobile,1,1,1,1,191.48
100048,Direct,Desktop,1,0,0,0,
100049,Paid Social,Mobile,1,0,0,0,
100050,Direct,Desktop,1,0,0,0,
100051,Email,Mobile,1,1,0,0,
100052,Email,Mobile,1,1,0,0,
100053,Organic Search,Mobile,1,1,0,0,
100054,Email,Mobile,1,0,0,0,
100055,Organic Search,Mobile,1,0,0,0,
100056,Email,Desktop,1,0,0,0,
100057,Paid Social,Mobile,1,1,1,0,
100058,Referral,Mobile,1,0,0,0,
100059,Email,Desktop,1,1,0,0,
100060,Paid Social,Mobile,1,0,0,0,
100061,Organic Search,Mobile,1,1,1,0,
100062,Referral,Desktop,1,1,1,0,
100063,Paid Social,Tablet,1,0,0,0,
100064,Direct,Mobile,1,1,0,0,
100065,Organic Search,Mobile,1,1,0,0,
100066,Email,Mobile,1,1,0,0,
100067,Referral,Mobile,1,1,0,0,
100068,Direct,Desktop,1,0,0,0,
100069,Paid Social,Mobile,1,0,0,0,
100070,Direct,Desktop,1,0,0,0,
100071,Paid Social,Mobile,1,0,0,0,
100072,Email,Desktop,1,0,0,0,
100073,Direct,Mobile,1,1,1,0,
100074,Organic Search,Mobile,1,1,1,0,
100075,Organic Search,Mobile,1,0,0,0,
100076,Paid Social,Mobile,1,0,0,0,
100077,Direct,Mobile,1,0,0,0,
